citekey,date,title,short_title,item_type,doi,record_url,pdf_url,topic_count,categories
reyesGeometryResonanceWave2025,2025-04-22,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",The Geometry of Resonance,preprint,10.5281/zenodo.15644222,https://zenodo.org/records/15644222,https://zenodo.org/records/15644222/files/The_Geometry_Of_Resonance.pdf,18,Foundations & Field Theory
reyesStructureDerivationPhysical2025,2025-04-26,Structure and Derivation of Physical Constants through Wave Confinement,Physical Constants through Wave Confinement,preprint,10.5281/zenodo.15596159,https://zenodo.org/records/15596159,https://zenodo.org/records/15596159/files/Structure%20and%20Derivation%20of%20Physical%20Constants%20through%20Wave%20Confinement.pdf,13,Foundations & Field Theory
reyesObservationLongLivedPhoton2025,2025-05-17,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Long-Lived Photon Resonance in Water Cavities,preprint,10.5281/zenodo.17206381,https://zenodo.org/records/17206381,https://zenodo.org/records/17206381/files/Observation%20of%20Long-Lived%20Photon%20Resonance%20Confinement%20in%20Water%20Cavities.pdf,10,Experiments & Protocols
reyesVsNPCurvatureBounded2025,2025-05-07,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Model-Relative P_WCC vs NP_WCC,preprint,10.5281/zenodo.17743607,https://zenodo.org/records/17743607,https://zenodo.org/records/17743607/files/P%20v.%20NP.pdf,16,Computation & Cryptography
reyesPhaseFluxFieldPFF2025,2025-09-08,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Phase-Flux Field,preprint,10.5281/zenodo.17578766,https://zenodo.org/records/17578766,https://zenodo.org/records/17578766/files/Phase%20Flux.pdf,11,Foundations & Field Theory
reyesResonanceConfinementArchitecturePhysically2025,2025-06-11,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Resonance-Confinement Architecture,preprint,10.5281/zenodo.17732661,https://zenodo.org/records/17732661,https://zenodo.org/records/17732661/files/AI_trajectory.pdf,10,AI Safety & Architecture
reyesSelfEmergentFourierCymatics2025,2025-09-16,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Self-Emergent Fourier Cymatics,preprint,10.5281/zenodo.17732648,https://zenodo.org/records/17732648,https://zenodo.org/records/17732648/files/Self-Emergent%20Fourier%20Cymatics%20Entropic%20Eigenmodes%20out%20of%20Chaos.pdf,11,Foundations & Field Theory
reyesHardUpperBound2025,2025-08-13,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Spatial Dimensionality Bound,preprint,10.5281/zenodo.17081283,https://zenodo.org/records/17081283,https://zenodo.org/records/17081283/files/Hard%20Upper%20Bound%20on%20Spatial%20Dimensionality%20in%20Wave%20Confinement%20Theory.pdf,7,Foundations & Field Theory
reyesJUNOEnergyResolution2025,2025-11-20,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,JUNO Ghost-Mode Neutrinos,preprint,10.5281/zenodo.17715872,https://zenodo.org/records/17715872,https://zenodo.org/records/17715872/files/JUNO%20Energy%20Resolution%20and%20Detectability%20of%20WCT%20Ghost-Mode%20Neutrinos.pdf,10,Experiments & Protocols
reyesEmergenceEffectiveMass2025,2025-10-27,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Solenoidal Topology and Effective Mass,preprint,10.5281/zenodo.17459463,https://zenodo.org/records/17459463,https://zenodo.org/records/17459463/files/Emergence%20of%20Effective%20Mass%20Solenoidal%20Topology%20of%20Vibrational%20Energy.pdf,12,Foundations & Field Theory
reyesLogSpectralStructureKoideLike2026,2026-05-09,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Log-Spectral Structure in B0 Decays,preprint,10.5281/zenodo.20164333,https://zenodo.org/records/20164333,https://zenodo.org/records/20164333/files/LHC_paper.pdf,22,Particle Physics & Spectral Tests
reyesWaveConfinementTheory2025,2025-12-10,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,WCT and the Koide Mass Relation,preprint,10.5281/zenodo.17887562,https://zenodo.org/records/17887562,https://zenodo.org/records/17887562/files/Wave%20Confinement%20Theory%20Predicts%20the%20Koide%20Mass%20Relation.pdf,20,Foundations & Field Theory; Particle Physics & Spectral Tests
reyesLogarithmicCurvatureFlow2026,2026-03-10,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Logarithmic Curvature Flow and Lepton Masses,preprint,10.5281/zenodo.18936949,https://zenodo.org/records/18936949,"https://zenodo.org/records/18936949/files/Logarithmic%20Curvature%20Flow,%20Filament%20Localization,%20and%20the%20Geometric%20Origin%20of%20the%20Lepton%20Mass%20Spectrum.pdf",13,Foundations & Field Theory; Particle Physics & Spectral Tests
